FID,SMILES,frequency,org_FID
461,[15*]C1C(C#N)=C(N)OC2=C1C(=O)CCC2,196,1382
462,[16*]c1ccc2cc3ccccc3nc2c1,195,1384
463,[13*][C@H]1Cn2cncc2CO1,194,1389
464,[16*]c1ccc2c(c1)NC(=O)CNC2=O,194,1390
465,[4*]C[C@@H](C)O,194,1392
466,[14*]c1cccc[nH+]1,193,1395
467,[1*]C(=O)CC1=CSC2=NCCN12,193,1396
468,[15*]C1CC12CCNCC2,191,1403
469,[4*]CCCC=O,191,1406
470,[14*]c1sc2cc(C)nc(C)c2c1N,190,1411
471,[16*]c1ccc2c(c1)[C@H](c1ccccc1)NCC2,190,1412
472,[9*]n1c2c(ccc1=O)CNCC2,190,1413
473,[12*]S(=O)(=O)c1ccc2ccccc2c1,190,1414
474,[1*]C(=O)/C=C1/NC(=O)CS1,190,1415
475,[13*][C@@H]1COC2(CCCC2)O1,189,1416
476,[5*]N1Cc2ccccc2C1,189,1417
477,[9*]n1cnc2sc3c(c2c1=O)CCNC3,189,1418
478,[13*]C1Cn2cncc2CO1,189,1419
479,[16*]c1ccc(S(=O)(=O)C2CNC2)cc1,188,1421
480,[9*]n1c(=O)c(=O)[nH]c2cc(F)ccc21,188,1422
481,[9*]n1ncc2c1-c1cc(C)ccc1OC2,188,1423
482,[16*]c1ccoc1C,188,1424
483,[16*]c1c[nH]c2ncccc12,188,1427
484,[16*]c1ccc(C2CC(=O)Nc3[nH]ncc32)cc1,187,1429
485,[5*]N1CCOC12CCN(C)CC2,187,1431
486,[13*]C1(C)NC(=O)NC1=O,187,1432
487,[14*]c1[nH]nc2c1[C@H](c1ccccc1)C(C#N)=C(N)O2,186,1436
488,[5*]N1CCN[C@@H](C)C1,186,1440
489,[16*]c1c[nH]cc2c(=O)[nH]nc1-2,186,1442
490,[14*]c1cc2occc2cn1,186,1443
491,[16*]c1ccc2c(c1)C(=O)Nc1cc(C)ccc1O2,185,1444
492,[14*]c1[nH]nc2c1[C@@H](c1ccccc1)C(C#N)=C(N)O2,185,1446
493,[16*]c1cc2ccccc2oc1=O,185,1448
494,[14*]c1nc2ccccc2c(=O)[nH]1,184,1453
495,[13*][C@H]1COC2(CCCC2)O1,184,1454
496,[16*]c1ccnc2ncccc12,183,1459
497,[9*]n1ccnc1C,182,1462
498,[8*]C(O)CC,181,1463
499,[16*]c1ccc2c(c1)OCCCO2,181,1465
500,[5*]N1CCC2(CC1)CC(=O)N2,180,1470
501,[8*]CS(C)(=O)=O,180,1471
502,[16*]c1ccc2c(c1)C(c1cccs1)NCC2,180,1472
503,[7*]=Cc1cc2c3c(c1)CCCN3CCC2,179,1476
504,[14*]c1nccc2c1CCCC2,179,1477
505,[5*]N1CC[C@@H](S(=O)(=O)c2ccccc2)C1,178,1489
506,[16*]c1cnc2[nH]ccc2c1,178,1490
507,[14*]c1nc2c(n1C)CNCC2,177,1491
508,[12*]S(=O)(=O)c1ccc(F)c(C)c1,177,1492
509,[14*]c1ccc2n1CCC2C=O,177,1494
510,[15*][C@H]1CCS(=O)(=O)C1,177,1500
511,[14*]c1nc2[nH]ccc(=O)c2cc1F,176,1501
512,[9*]n1cnc2cnccc2c1=O,176,1503
513,[1*]C(=O)CN1C(=O)CCS(=O)(=O)c2ccccc21,176,1504
