FID,SMILES
636,[14*]c1cnc2ncccn12
637,[13*][C@H]1C[C@@H](O)CN1
638,[4*][C@H](C)[C@@H](C)CO
639,[1*]C(=O)CC[C@@H](C)O
640,[16*]c1cc(N)ccc1C
641,[16*]c1ccc([SH](=O)=O)c(F)c1
642,[8*][C@H](C)C[NH3+]
643,[1*]C(=O)CCC=C
644,[4*]CCS(N)(=O)=O
645,[15*]C1[C@@H](C)CCC[C@@H]1C
646,[1*]C(=O)[C@H]1SCCc2ccccc21
647,[4*]C[C@H](C)C[C@@H](C)O
648,[15*]C12CC3C[C@H](C1)C[C@@H](C3)C2
649,[5*]N1CC[C@@]2(CCCNC2=O)C1
650,[9*]n1cnc2sc(C)cc2c1=O
651,[8*][C@H](C)CCC
652,[10*]N1C(=O)[C@H]2CC=CC[C@@H]2C1=O
653,[13*][C@H]1Nc2ccccc2[C@H]2C=CC[C@@H]21
654,[5*]N[C@@H]1CCc2c(O)cccc21
655,[1*]C(=O)C[NH3+]
656,[15*][C@@H]1C[C@@]12CCc1ccccc12
657,[16*]c1c(C)cc(Br)cc1C
658,[4*]C[C@H](C)CO
659,[5*]N1C[C@H]2CCCC[NH+]2C[C@@H]1C
