FID,SMILES,frequency,org_FID
9734,[16*]c1ccccc1S(=O)(=O)n1cnc(C)c1,6,14702
9735,[13*]C1N=C2SC=CN2C1C,6,14704
9736,[5*]N1c2cccnc2NC[C@@H]1C,6,14705
9737,[5*]N1C=C(Br)C(N)=CC1=C,6,14707
9738,[10*]N1C(=O)c2oc3ccc(Br)cc3c(=O)c2C1c1ccccn1,6,14708
9739,[7*]=CC1CC(=O)c2ccc(=O)[nH]c2C1,6,14709
9740,[5*]NC(=NC)N(C)C,6,14710
9741,[7*]=C1CCNc2ccccc21,6,14711
9742,[14*]c1nc2nc(N)nc(N)c2[nH]1,6,14712
9743,[15*][C@@]12CC[C@@H](CNC1)C2,6,14713
9744,[16*]c1ccc2c(c1)CCCC2(C)O,6,14714
9745,[7*]=Cc1ncn(C)c1O,6,14715
9746,[13*][C@@H]1OC(=O)C(O)=C1Br,6,14716
9747,[14*]c1cc(F)ncn1,6,14718
9748,[7*]=C1C(=O)Nc2c(C)cccc2C1=O,6,14719
9749,[14*]c1ncc2cc(Br)c(=O)[nH]c2n1,6,14720
9750,[12*]S(=O)(=O)c1ccc2c(c1)CCNCC2,6,14723
9751,[16*]c1c(N)cc(Cl)cc1Cl,6,14724
9752,[5*][NH+]1CC(C)OC(C)C1,6,14726
9753,[4*]CC1(C)C(=O)c2cccc3cccc1c23,6,14729
9754,[7*]=CC1=NC(C)(C)CO1,6,14731
9755,[8*]C(O)CC(C)C,6,14732
9756,[14*]c1ccc2c(=O)n(C)cnc2n1,6,14733
9757,[14*]c1c2ccccc2cc[n+]1N,6,14734
9758,[8*]C[C@@H](C)C(=O)O,6,14736
9759,[16*]c1c(F)cc2c(=O)c(C)c[nH]c2c1C#N,6,14738
9760,[16*]c1ccc2c(c1)[nH]c(=O)c1c(Cl)cc(Cl)n12,6,14739
9761,[16*]c1cc2cccc(C)c2[nH]c1=O,6,14740
9762,[16*]c1ccc2c(c1)CC(C)NC2C,6,14741
9763,[8*]C[C@@H](C)CC,6,14743
9764,[9*]n1nc(C#N)c2c(=O)[nH]cnc21,6,14744
9765,[12*]S(=O)(=O)c1ccc2c(c1)C1(OCCO1)C(=O)N2C,6,14746
9766,[8*][C@@H](O)CN1C(=O)c2cccc3cccc1c23,6,14748
9767,[15*]C1/C(=C\N)CCCC1C,6,14749
9768,[7*]=C1COC(C)(C)OC1,6,14750
9769,[14*]c1nnc2n1N=C(c1ccc(Cl)cc1)[C@@H](C)S2,6,14754
9770,[5*]NC(=S)NN=C1CC(=O)CC(C)(C)C1,6,14755
9771,[15*]C1C(=O)N=C(C(N)C(C)(C)C)NC1=O,6,14761
9772,[16*]c1cc(O)n2c1CCC2,6,14763
9773,[1*]C(=O)C1CCCn2nccc21,6,14775
9774,[14*]c1nc2c(c(C)nn2C)c(=O)[nH]1,6,14776
9775,[14*]c1sccc1C#C,6,14777
9776,[13*][C@H]1NS(=O)(=O)N[C@H]1C,6,14778
9777,[14*]c1nncn1/N=C\c1ccccc1C,6,14779
9778,[4*]C(C)(F)F,6,14781
9779,[16*]c1ccc2c(c1)C[C@@H](C)N2,6,14783
9780,[5*]N1CCN(/N=C/c2ccccc2C)CC1,6,14785
9781,[7*]=C1C=CC(Br)=CN1C,6,14786
9782,[5*]NC1CCCc2c1[nH]c1ccc(F)cc21,6,14789
9783,[5*]N1CC=CN=C1N,6,14790
9784,[14*]c1cnc2cc(Br)cnc2n1,6,14791
9785,[5*]NC(=S)c1ccc2cnccc2n1,6,14792
9786,[11*]SC1=C(Cl)C(=O)OC1,6,14795
9787,[7*]=Cc1cc(C)ccc1O,6,14796
9788,[14*]c1cc2c(cn1)C(=O)NC2=O,6,14797
9789,[9*]n1nc(C)c2c1OC(N)=C(C#N)[C@@H]2c1ccc(Cl)cc1,6,14799
9790,[13*][C@@H]1CN=CO1,6,14800
9791,[16*]c1cc(Br)ccc1S(=O)(=O)[C@@H]1CCNC1,6,14801
9792,[6*]C(=O)N=c1c(C)cccn1C=O,6,14803
9793,[7*]=C1SC(SC=O)=NC1=O,6,14804
9794,[1*]C(=O)N=C1CCCCC1,6,14805
9795,[13*]C1(C)OCOC(F)(F)C1O,6,14806
9796,[12*]S(=O)(=O)c1ccc(C#N)c(C)c1,6,14807
9797,[7*]=CC(=C)Cl,6,14808
9798,[16*]c1c(N)cc2c3c(cccc13)CC2,6,14812
9799,[9*]n1cnc2nn(C)cc2c1=O,6,14813
9800,[10*]N1C(=O)CC(=O)N=C1SC,6,14815
9801,[4*][C@@H](C(=O)[O-])C(C)C,6,14816
9802,[13*]C1CN(C)C(N)=N1,6,14817
9803,[13*][C@H]1NC[C@@H]2CCC[C@@H]1C2=O,6,14820
9804,[4*]CCC1=NC(=O)[C@H](C)C(=O)N1,6,14821
9805,[5*]N1c2ccc(C)cc2C2CNCCC21,6,14822
9806,[13*][C@H]1C[C@@H](S(=O)(=O)c2ccc(F)cc2)CN1,6,14828
9807,[14*]c1n[nH]c2c(C#CCO)cccc2c1=O,6,14829
9808,[16*]c1cnc2onc(C)c2c1,6,14831
9809,[10*]N1C(=O)c2ccc(Cl)cc2[C@@H]1CC,6,14832
9810,[7*]=Cc1cccc(C)n1,6,14834
9811,[16*]c1ccc2oc3cncnc3c2c1,6,14835
9812,[16*]c1c[nH]c2cnc(C)cc12,6,14836
9813,[12*]S(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,6,14837
9814,[1*]C(=O)C[C@H]1CSc2nc3c(c(=O)n21)CCC3,6,14838
9815,[16*]c1cc(S(=O)C(C)C)cc2c(=O)c3ccccc3oc12,6,14839
9816,[14*]c1csc(C)[n+]1C,6,14840
9817,[16*]c1c2ccc(Cl)cc2nc2ccc(C)cc12,6,14841
9818,[16*]c1cn(C)c2ccc(F)cc12,6,14846
9819,[10*]N1C(=O)c2cccc3cc([NH+]([O-])O)cc(c23)C1=O,6,14847
9820,[1*]C(=O)[C@@H](N)CO,6,14849
9821,[14*]c1cc2c(nn1)CCCC2O,6,14851
9822,[16*]c1cc2n(c1O)CCC2,6,14852
9823,[14*]c1cc2oc(C#CC(N)=O)cc2cn1,6,14853
9824,[13*]C1NCC2CCNC21,6,14854
9825,[9*]n1c(=O)[nH]c2nccc(C)c21,6,14855
9826,[16*]c1cc(Cl)cc([SH](=O)=O)c1,6,14856
9827,[16*]c1cc(C)ccc1C#N,6,14857
9828,[13*]C1Cc2ccccc2C(=O)N1,6,14859
9829,[5*]N1CCC2(CC1)OC(=O)c1cc(F)c(F)cc12,6,14861
9830,[13*]C1CCC(O)=N1,6,14864
9831,[16*]c1ccc(Cc2ccccc2)[nH]c1=O,6,14865
9832,[8*]C(C)N=O,6,14866
9833,[16*]c1ccc2c(c1)CC(=O)N(C)C2,6,14869
9834,[14*]c1nc2ccccc2c(Br)c1O,6,14870
9835,[15*]C1CN=C(C)C1,6,14872
9836,[5*]N1C[C@]2(C)CC[C@@H](C2)C1(C)C,6,14873
9837,[9*]n1cnc(C)c1C,6,14874
9838,[14*]c1nnc2cc(C)c3ccc(Cl)cc3n12,6,14875
9839,[14*]c1cc2cc[nH]c2c(Cl)n1,6,14878
